restaurant,category,item_name,description,options,tags,spice_level,state,address,contact_info
Spice Zone,Appetizers,Papadum,,,"['V,GF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Appetizers,Pakora,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Appetizers,Veggie Samosa,,,['V'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Appetizers,Egg Rolls,,,['DF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Appetizers,Chicken Wings,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Appetizers,Lasooni Shrimp,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Soup & Salad,Daal Soup,,,"['V, GF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Soup & Salad,Chicken Soup,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Soup & Salad,Tomato-Coconut Soup,,,"['V, GF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Soup & Salad,Cuto Salad,,,"['V,GF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Soup & Salad,Mulligatawny Soup,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Tofu,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Vegetable,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Lamb,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Mushroom,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Paneer (Cottage Cheese),,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Beef,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Sweet Potato,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Traditional Offerings,Chicken,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Curry,,,"['GF, DF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Honey,,,"['GF,DF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Masala,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Korma,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Butter,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Saag,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Karahi,,,"['GF, DF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Dhaniya,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Rogan Josh,,,['GF-DF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Makhani,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Vindalu,,,"['GF,DF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Coconut Curry,,,"['GF, DF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Coconut Korma,,,"['GF,DF']",,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Please Choose your Sauce from this section to complete your entree:,Mango,,,['GF'],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Chili,Tofu,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
Spice Zone,Chili,Sweat Potato,,,[],,,"600 W 19th St, Cheyenne, WY 82001, United States",
